SubjectName,ChapterName,SourceDocumentName,Question,GroundTruthAnswer,ExpectedKeywords,ExpectedSource
Kiến trúc phần mềm,Chương 1 - Giới thiệu,Chapter_1.pdf,Software Architecture là gì?,"Software Architecture (Kiến trúc phần mềm) là cấu trúc tổng thể của hệ thống phần mềm, bao gồm các thành phần (component), mối quan hệ giữa chúng và môi trường mà hệ thống hoạt động. Kiến trúc phần mềm định nghĩa cách hệ thống được tổ chức và giao tiếp nội bộ.","software architecture,component,relationship,environment,structure",Chapter_1.pdf - Định nghĩa Software Architecture
Kiến trúc phần mềm,Chương 1 - Giới thiệu,Chapter_1.pdf,Tại sao kiến trúc phần mềm quan trọng?,"Kiến trúc phần mềm quan trọng vì nó ảnh hưởng đến chất lượng hệ thống (hiệu năng, bảo mật, khả năng bảo trì), giúp giao tiếp giữa các bên liên quan, hỗ trợ ra quyết định sớm và giảm rủi ro kỹ thuật trong suốt vòng đời phát triển.","quality,performance,security,maintainability,stakeholder",Chapter_1.pdf - Tầm quan trọng
Kiến trúc phần mềm,Chương 1 - Giới thiệu,Chapter_1.pdf,Phân biệt kiến trúc phần mềm và thiết kế phần mềm (software design)?,"Kiến trúc phần mềm tập trung vào cấu trúc cấp cao (high-level), quyết định tổng thể như chọn architectural style và phân chia hệ thống thành các subsystem. Thiết kế phần mềm chi tiết hơn, bao gồm thiết kế module, class và logic bên trong từng component.","high-level,low-level,architectural style,module,class",Chapter_1.pdf - So sánh
Kiến trúc phần mềm,Chương 1 - Giới thiệu,Chapter_1.pdf,Các views (góc nhìn) trong kiến trúc phần mềm là gì? Kể tên các view phổ biến.,"Architectural view là cách nhìn hệ thống từ một góc độ cụ thể. Các view phổ biến: Logical view (cấu trúc logic - class/component), Process view (luồng xử lý - concurrency), Development view (tổ chức code), Physical/Deployment view (cơ sở hạ tầng).","logical view,process view,development view,physical view,4+1",Chapter_1.pdf - Architectural Views
Kiến trúc phần mềm,Chương 1 - Giới thiệu,Chapter_1.pdf,Mô hình 4+1 View của Kruchten bao gồm những view nào?,"Mô hình 4+1 View của Kruchten gồm: Logical View, Process View, Development View, Physical View và Use Case View (+1). Use Case View đóng vai trò kết nối, minh họa yêu cầu chức năng thông qua các kịch bản.","logical,process,development,physical,use case,kruchten,4+1",Chapter_1.pdf - 4+1 View Model
Kiến trúc phần mềm,Chương 2 - Architectural Styles,Chapter_2.pdf,Layered Architecture là gì? Ưu và nhược điểm?,"Layered Architecture tổ chức hệ thống thành các tầng (layer) như Presentation, Business Logic, Data Access. Ưu điểm: dễ hiểu, phân tách rõ ràng, dễ kiểm thử từng tầng. Nhược điểm: có thể tạo overhead khi request phải đi qua nhiều tầng.","layered,presentation,business logic,data access,separation of concerns",Chapter_2.pdf - Layered Architecture
Kiến trúc phần mềm,Chương 2 - Architectural Styles,Chapter_2.pdf,Microservices Architecture khác gì so với Monolithic Architecture?,"Monolithic Architecture đóng gói toàn bộ chức năng trong một ứng dụng duy nhất. Microservices chia hệ thống thành các service nhỏ, độc lập, giao tiếp qua API. Microservices dễ scale, deploy độc lập nhưng phức tạp hơn trong vận hành và giao tiếp giữa service.","microservices,monolithic,service,API,scale,deploy",Chapter_2.pdf - Microservices vs Monolithic
Kiến trúc phần mềm,Chương 2 - Architectural Styles,Chapter_2.pdf,Event-Driven Architecture là gì?,"Event-Driven Architecture (EDA) là kiến trúc mà các component giao tiếp thông qua sự kiện (event). Khi một component phát ra event, các component khác đăng ký lắng nghe (subscribe) và phản ứng. EDA hỗ trợ loose coupling và khả năng mở rộng tốt.","event,event-driven,producer,consumer,subscribe,loose coupling",Chapter_2.pdf - Event-Driven Architecture
Kiến trúc phần mềm,Chương 2 - Architectural Styles,Chapter_2.pdf,MVC (Model-View-Controller) pattern hoạt động như thế nào?,"MVC tách biệt ứng dụng thành 3 phần: Model (dữ liệu và business logic), View (giao diện người dùng), Controller (xử lý input và điều phối). Controller nhận request, gọi Model xử lý, sau đó trả kết quả cho View để hiển thị.","model,view,controller,MVC,separation,request",Chapter_2.pdf - MVC Pattern
Kiến trúc phần mềm,Chương 2 - Architectural Styles,Chapter_2.pdf,Service-Oriented Architecture (SOA) là gì?,"SOA là kiến trúc trong đó chức năng hệ thống được chia thành các service độc lập, giao tiếp qua giao thức chuẩn (thường là SOAP/XML). Mỗi service thực hiện một chức năng nghiệp vụ cụ thể và có thể tái sử dụng.","SOA,service,SOAP,XML,reusable,protocol",Chapter_2.pdf - SOA
